Avg,Std,Max,Min,Energy,Std_energy 
3.759200,11.976900,22.002800,-6.234400,0,0.000000 
12.988000,11.784400,39.174000,-5.834800,0,0.000000 
17.983700,15.235700,65.773500,-5.840600,0,0.000000 
24.189600,25.662100,65.773500,-5.963600,0,0.000000 
34.947200,21.160200,65.773500,-5.834800,0,0.000000 
43.732600,22.691100,65.773500,-4.595100,0,0.000000 
59.080000,17.658500,65.773500,-6.280400,0,0.000000 
59.497600,12.055600,65.773500,29.877500,0,0.000000 
59.495300,16.809400,74.738500,2.773500,0,0.000000 
57.230200,18.959500,74.738500,2.890800,0,0.000000 
54.992300,20.409300,74.738500,-6.272900,0,0.000000 
62.182700,14.564600,74.738500,20.742300,0,0.000000 
54.954300,24.736800,74.738500,-6.226500,0,0.000000 
62.181600,16.130400,74.779400,21.174000,0,0.000000 
64.441900,19.907700,74.866600,2.742300,0,0.000000 
65.805000,16.236800,74.866600,21.168100,0,0.000000 
71.673500,8.247500,84.638800,47.864400,0,2.400000 
71.025100,17.404500,86.389400,2.761700,1,7.901900 
65.401800,23.254200,86.389400,12.592800,2,6.418000 
65.552500,23.200400,86.389400,20.732800,2,7.340900 
72.675100,20.701300,86.389400,21.162300,5,11.109300 
78.195400,16.964700,86.389400,29.875300,3,11.177500 
86.341900,0.207200,86.389400,85.438800,13,0.000000 
77.918000,17.842100,89.017900,30.171100,15,14.081700 
71.909800,27.008600,89.017900,11.757800,6,17.808300 
73.166500,22.861600,89.017900,20.736600,12,18.138200 
67.718000,26.467100,89.017900,21.174000,18,24.102600 
76.757200,18.195100,89.017900,30.758300,7,24.513000 
73.356500,24.795000,89.017900,21.171100,20,25.942200 
76.335800,27.020800,89.017900,-6.253800,7,26.000000 
