Avg,Std,Max,Min,Energy,Std_energy 
9.020400,16.310200,30.796000,-5.834800,0,0.000000 
19.025100,15.735800,30.796000,-6.261500,0,0.000000 
28.040300,8.689500,30.812600,-5.834800,0,0.000000 
25.816000,11.175600,39.379600,-5.831900,0,0.000000 
27.602300,11.759300,39.379600,-5.831900,0,0.000000 
29.804100,7.496700,39.379600,3.203900,0,0.000000 
26.618900,12.599000,39.379600,-5.828900,0,0.000000 
28.730500,14.393900,39.379600,-5.831900,0,0.000000 
31.435300,13.446600,48.171100,-5.834800,0,0.000000 
34.936400,11.646900,48.171100,4.212500,0,0.000000 
33.606600,12.572100,48.171100,4.272600,0,0.000000 
33.142900,13.831700,48.171100,3.194900,0,0.000000 
29.036300,19.244700,48.171100,-5.828900,0,0.000000 
34.904100,15.235200,48.171100,3.194900,0,0.000000 
40.211200,14.595700,48.171100,-5.796100,0,0.000000 
43.709900,13.709100,48.171100,-5.831900,0,0.000000 
45.036000,8.146500,48.171100,21.197900,0,0.000000 
36.590000,18.404200,48.171100,-5.834800,0,0.000000 
45.470900,11.769700,48.171100,-5.831900,0,0.000000 
43.704000,12.873300,48.171100,-5.831900,0,0.000000 
43.222200,13.185900,48.171100,-5.820100,0,0.000000 
39.663200,14.603700,48.171100,-5.831900,0,0.000000 
42.027500,13.904200,48.171100,4.272600,0,0.000000 
42.401900,14.118200,48.171100,3.182900,0,0.000000 
40.088400,16.817000,48.171100,-6.111500,0,0.000000 
43.790600,11.268300,48.171100,4.272600,0,0.000000 
40.583200,16.848800,48.171100,-5.826000,0,0.000000 
37.016800,18.525700,48.171100,-5.831900,0,0.000000 
37.457800,19.307000,48.171100,-5.831900,0,0.000000 
46.393500,7.748200,48.171100,12.620100,0,0.000000 
