Avg,Std,Max,Min,Energy,Std_energy 
9.807200,18.480700,56.773500,-5.834800,0,0.000000 
18.931500,22.820200,56.773500,-6.236400,0,0.000000 
34.223700,25.137600,56.875300,-6.287900,0,0.000000 
50.127100,15.615700,65.765600,2.773500,0,0.000000 
51.427000,14.563600,65.765600,2.773500,0,0.000000 
45.369000,24.952400,88.191400,-6.236400,2,10.975500 
50.604500,28.632700,88.191400,-5.826000,1,6.000000 
58.535300,28.660000,88.191400,-5.998900,8,18.448800 
73.196800,20.559900,88.440900,21.174000,15,22.083200 
73.363700,24.705800,88.440900,21.174000,16,20.996100 
72.999100,27.842200,88.440900,-5.826000,26,20.786100 
77.023400,27.529800,88.440900,-5.656000,19,18.549800 
75.159400,26.256800,88.440900,3.361600,13,22.745400 
77.171300,20.110600,88.440900,21.174000,9,22.535300 
85.276400,11.058800,88.440900,38.860100,9,21.684600 
81.038800,20.321800,88.440900,3.638700,13,21.684600 
88.440900,0.000000,88.440900,88.440900,13,0.000000 
78.719500,18.531500,88.440900,20.761700,18,22.379200 
74.733200,26.787500,88.440900,-5.342300,4,19.124000 
75.329400,29.572300,88.440900,-6.238300,17,21.199400 
79.187800,18.257100,88.440900,21.177000,18,22.379200 
67.185200,37.141700,88.440900,-6.226500,18,22.379200 
66.516400,31.150400,88.440900,-5.043400,11,21.737500 
71.837000,28.978200,88.440900,-5.826000,20,22.041200 
73.794400,23.593300,88.440900,21.174000,20,22.185500 
81.909300,17.089200,88.440900,21.174000,16,21.079800 
86.405200,8.873400,88.440900,47.727100,20,13.800000 
84.820600,10.953300,88.440900,47.750000,23,17.143200 
81.714200,20.180100,88.440900,21.174000,27,16.096600 
85.535400,12.665000,88.440900,30.330100,13,16.096600 
