Avg,Std,Max,Min,Energy,Std_energy 
18.636900,25.711600,65.763600,-6.244200,0,0.000000 
49.779300,23.003500,74.785400,3.956600,0,0.000000 
46.339900,24.661200,66.003500,-5.837700,0,0.000000 
48.144300,23.315100,66.003500,-5.834800,0,0.000000 
55.369700,19.650800,66.003500,-5.834800,0,0.000000 
66.315300,1.967400,74.817900,65.145600,0,0.000000 
59.605900,21.351800,74.855800,-6.234400,0,0.000000 
63.143000,17.848900,74.873100,-6.234400,0,0.000000 
67.608400,13.660300,74.895200,20.626700,0,0.000000 
69.022700,16.134500,74.895200,3.062500,0,0.000000 
73.973000,3.945900,74.895200,56.773500,0,0.000000 
71.749400,11.770500,74.897400,21.177000,0,0.000000 
68.996100,18.116100,74.895200,-6.236400,0,0.000000 
64.061900,21.597600,74.895200,2.773500,0,0.000000 
72.593300,7.031800,74.895200,47.209900,0,0.000000 
72.600700,7.033200,74.895200,47.214400,0,0.000000 
62.727200,26.758500,74.895200,-6.234400,0,0.000000 
71.267600,12.212700,74.895200,21.070400,0,0.000000 
72.185900,11.777900,74.895200,20.847300,0,0.000000 
62.715100,25.824900,74.895200,2.771500,0,0.000000 
70.825200,15.695700,74.895200,3.001100,0,0.000000 
67.231800,19.180600,74.895200,2.809700,0,0.000000 
69.020500,18.095400,74.895200,-6.236400,0,0.000000 
65.404100,21.981100,74.895200,2.767600,0,0.000000 
74.441800,1.949300,74.895200,65.945600,0,0.000000 
65.926400,21.597900,74.895200,3.001100,0,0.000000 
74.446000,1.948000,74.895200,65.955000,0,0.000000 
74.895200,0.000000,74.895200,74.895200,0,0.000000 
71.220600,8.919800,74.895200,47.209900,0,0.000000 
66.778900,22.965800,74.895200,-6.234400,0,0.000000 
