Avg,Std,Max,Min,Energy,Std_energy 
17.077900,23.704400,56.777400,-6.253800,0,0.000000 
34.541400,19.591200,56.777400,-5.831900,0,0.000000 
38.531400,20.351600,56.777400,-5.834800,0,0.000000 
48.323900,15.808300,74.779400,21.174000,0,0.000000 
58.192800,11.511800,84.611700,21.174000,0,2.131800 
60.356400,20.652100,86.613800,21.165200,3,9.534600 
67.776100,21.677200,86.011700,21.171100,2,8.454100 
79.102000,14.446700,86.011700,21.174000,5,9.297300 
67.568200,28.575100,86.011700,3.174000,5,10.846100 
78.896500,19.394700,86.011700,21.174000,3,9.526300 
81.179800,14.337700,86.011700,30.156500,8,8.936900 
80.648900,15.954000,86.011700,21.174000,12,8.449600 
84.098000,8.341900,86.011700,47.736600,7,7.275800 
79.957700,18.212800,86.011700,21.174000,11,8.198900 
71.582300,25.986900,86.011700,21.174000,13,10.024200 
74.297300,26.095100,86.011700,3.174000,3,10.185800 
76.539800,20.396200,86.011700,21.174000,13,9.455800 
70.309300,28.078300,89.013800,-5.834800,10,14.786200 
67.917200,28.532400,89.013800,3.174000,4,17.152900 
78.627000,23.362500,89.013800,3.174000,8,22.988900 
67.771000,31.011900,89.013800,-5.411600,10,25.014400 
76.305800,26.880700,89.013800,2.773500,10,26.000000 
82.400700,17.264900,89.013800,21.174000,20,23.158800 
81.898400,20.271500,89.013800,21.171100,30,20.181400 
81.252400,19.314400,89.013800,21.174000,7,25.494300 
80.353100,20.553900,89.013800,21.174000,18,25.014400 
85.621800,14.785300,89.013800,21.174000,26,14.948900 
76.796800,26.210000,89.013800,3.601800,18,25.014400 
75.896100,26.293200,89.013800,21.174000,13,25.839000 
76.746100,24.362300,89.013800,21.165200,18,23.473500 
