Avg,Std,Max,Min,Energy,Std_energy 
1.538300,10.337600,21.174000,-5.834800,0,0.000000 
7.884900,11.387900,21.379600,-4.691300,0,0.000000 
15.203000,9.480000,21.379600,-5.366000,0,0.000000 
19.896600,5.901900,21.379600,-5.826000,0,0.000000 
19.544900,5.270300,21.379600,3.174000,0,0.000000 
22.654100,6.476900,47.971700,12.174000,0,0.000000 
24.494500,8.569800,47.971700,12.361600,0,0.000000 
28.115600,13.396600,48.250600,3.643400,0,0.000000 
31.299900,12.443900,48.250600,4.317900,0,0.000000 
44.070300,11.717200,65.858000,12.681900,0,0.000000 
48.973000,6.832200,74.777400,38.974100,0,0.000000 
48.084000,18.177300,74.966900,-6.234400,0,0.000000 
51.530600,21.309500,74.966900,3.006000,0,0.000000 
61.423500,19.265100,74.966900,21.174000,0,0.000000 
66.822600,14.607500,74.966900,21.638700,0,0.000000 
67.297100,13.287500,74.966900,30.174000,0,0.000000 
65.502100,16.352000,74.966900,21.174000,0,0.000000 
61.016400,24.815600,74.966900,-5.976400,0,0.000000 
65.938000,16.878800,74.966900,11.538500,0,0.000000 
67.302700,15.357700,74.966900,21.289600,0,0.000000 
69.565100,18.275300,74.966900,-5.823000,0,0.000000 
64.143100,22.214000,74.966900,2.544800,0,0.000000 
62.855700,25.884900,74.966900,-6.120300,0,0.000000 
60.139800,28.009600,74.966900,-6.148500,0,0.000000 
69.545700,16.231700,74.966900,20.532300,0,0.000000 
69.087100,14.898200,74.966900,11.873100,0,0.000000 
68.672600,19.103400,74.966900,2.873100,0,0.000000 
69.980600,11.551600,74.966900,30.174000,0,0.000000 
71.396000,13.128900,84.866600,21.732100,0,3.142700 
71.508700,16.743400,84.866600,3.269900,0,3.142700 
