Avg,Std,Max,Min,Energy,Std_energy 
15.742500,20.091600,56.773500,-6.226500,0,0.000000 
29.181900,20.419500,56.803600,-5.826000,0,0.000000 
49.552800,13.874400,56.803600,2.652600,0,0.000000 
56.348100,7.163000,74.773500,30.207000,0,0.000000 
53.684700,16.810500,74.890800,-5.831900,0,0.000000 
54.607300,21.215800,74.890800,3.006000,0,0.000000 
63.144200,18.953600,74.890800,11.497200,0,0.000000 
65.609600,17.173800,86.238800,20.551100,1,5.986700 
76.161000,6.248200,86.238800,56.773500,4,10.041300 
77.994200,8.782500,86.238800,47.773500,2,9.600000 
59.201500,29.677900,86.238800,3.001100,4,10.392300 
71.163300,28.299200,86.238800,3.001100,7,11.950300 
80.364600,15.289300,86.238800,21.171100,12,10.111800 
75.180600,18.770800,86.238800,21.174000,9,11.876900 
82.620800,8.507700,86.238800,56.773500,7,9.578600 
75.843800,21.057300,88.991200,3.001100,14,14.847100 
72.271300,21.815700,88.991200,21.171100,11,18.235000 
73.588400,23.613100,88.991200,3.001100,9,21.183700 
84.201600,9.229800,88.991200,56.773500,15,15.821900 
84.820600,10.988500,88.991200,47.862300,25,19.522900 
81.005700,17.213400,88.993600,30.171100,10,24.476700 
78.283800,25.597900,88.993600,3.062500,19,21.893800 
84.536900,18.795100,88.993600,2.652600,21,16.119600 
83.286200,17.860100,88.993600,11.649100,25,20.524500 
78.560900,23.797400,88.993600,2.991200,17,24.052300 
81.042800,23.073600,88.993600,3.579500,9,21.042200 
74.285800,30.009600,88.993600,3.031300,22,23.426800 
80.127200,20.415700,88.993600,3.648100,7,23.701300 
75.856700,28.670600,88.993600,3.006000,12,24.845200 
80.339500,19.321700,88.993600,12.462700,15,24.494900 
