Avg,Std,Max,Min,Energy,Std_energy 
20.614400,22.013400,65.759700,-5.996500,0,0.000000 
25.217900,17.186400,65.759700,-4.682100,0,0.000000 
25.313400,18.740200,65.759700,-5.814100,0,0.000000 
35.965200,19.741200,65.777400,21.174000,0,0.000000 
34.372100,28.691100,74.765600,-5.826000,0,0.000000 
47.457200,20.630200,65.777400,3.174000,0,0.000000 
53.271000,19.217400,74.769500,21.174000,0,0.000000 
55.071200,18.419800,74.769500,12.165200,0,0.000000 
65.941300,7.436800,87.213800,56.773500,1,8.756300 
66.415700,10.693500,87.213800,30.171100,0,0.000000 
64.840300,17.894200,87.213800,21.174000,1,10.685200 
68.483400,17.352700,87.213800,21.162300,2,11.035300 
68.328300,20.494400,87.213800,21.174000,1,5.605100 
70.206900,26.185000,87.213800,-5.826000,2,11.226100 
81.702400,13.688700,87.213800,30.174000,16,13.538300 
71.222800,30.916500,87.213800,-6.232400,10,15.528600 
73.616000,25.461300,87.593400,-6.232400,18,16.447900 
72.956700,27.532800,87.593400,-5.826000,12,17.380500 
74.566800,30.519000,87.213800,-6.246100,17,14.325100 
79.794300,17.173300,87.213800,21.174000,8,16.894700 
85.069800,6.432100,87.213800,65.759700,15,13.113600 
83.545900,8.885400,87.213800,56.746200,13,15.142300 
84.173300,9.121500,87.213800,56.740400,27,10.685200 
81.070300,18.520200,87.423600,21.174000,22,11.557800 
76.219200,25.109000,87.213800,-5.826000,6,17.000000 
78.195300,24.424000,87.793400,-6.253800,20,13.879500 
80.501200,19.782600,87.793400,21.168100,17,12.609800 
77.152200,20.310400,87.793400,21.174000,16,15.016700 
75.575200,22.285400,87.793400,21.174000,6,16.503300 
83.319200,15.047700,89.843000,21.171100,7,24.000000 
