Avg,Std,Max,Min,Energy,Std_energy 
0.123400,8.278600,21.753000,-5.837700,0,0.000000 
4.621900,8.964900,21.753000,-5.720300,0,0.000000 
11.315100,14.014000,57.732100,-5.717000,0,0.000000 
20.302500,17.397700,57.732100,3.601800,0,0.000000 
44.246400,21.178100,57.732100,3.753000,0,0.000000 
54.576700,9.569300,57.732100,21.753000,0,0.000000 
56.825600,3.951400,57.732100,39.601800,0,0.000000 
57.725600,0.028400,57.732100,57.601800,0,0.000000 
57.706800,0.110400,57.732100,57.225400,0,0.000000 
55.026700,8.593100,57.732100,21.753000,0,0.000000 
53.222200,13.786800,57.753000,3.753000,0,0.000000 
47.827400,20.132500,57.753000,3.601800,0,0.000000 
48.746700,18.441500,57.753000,3.753000,0,0.000000 
51.448800,15.351100,57.753000,3.753000,0,0.000000 
55.050900,11.768600,57.753000,3.753000,0,0.000000 
55.042300,8.598000,57.753000,21.753000,0,0.000000 
53.253000,13.796700,57.753000,3.753000,0,0.000000 
52.803000,11.897400,57.753000,21.753000,0,0.000000 
47.395400,16.906900,57.753000,3.753000,0,0.000000 
51.444400,13.977700,57.753000,3.753000,0,0.000000 
53.230100,13.789600,57.753000,3.753000,0,0.000000 
58.203000,1.961500,66.753000,57.753000,0,0.000000 
52.351900,15.947700,66.753000,3.753000,0,0.000000 
51.453000,18.022500,66.753000,3.753000,0,0.000000 
52.803000,17.653500,66.753000,3.753000,0,0.000000 
54.151900,21.183300,66.753000,3.753000,0,0.000000 
61.795400,15.466700,66.753000,3.753000,0,0.000000 
61.801900,13.492800,66.753000,21.753000,0,0.000000 
56.395400,22.477200,66.753000,3.601800,0,0.000000 
50.103000,22.994100,66.753000,3.753000,0,0.000000 
