Avg,Std,Max,Min,Energy,Std_energy 
0.913200,7.540300,12.727000,-5.273000,0,0.000000 
3.101500,7.806500,12.727000,-5.869300,0,0.000000 
7.181600,7.814100,21.753000,-5.273000,0,0.000000 
11.749100,8.645200,21.753000,-5.869300,0,0.000000 
18.119400,12.129900,57.225400,-5.273000,0,0.000000 
28.394600,14.543500,57.225400,12.727000,0,0.000000 
32.393200,16.253200,57.225400,21.753000,0,0.000000 
43.904900,20.964000,66.225400,-5.273000,0,0.000000 
54.119500,17.455200,66.225400,-5.273000,0,0.000000 
59.066700,13.070700,66.225400,21.753000,0,0.000000 
55.438500,19.169600,66.225400,-5.837700,0,0.000000 
65.774800,1.939000,66.241100,57.323200,0,0.000000 
63.981300,7.984400,66.241100,30.225400,0,0.000000 
57.702800,18.047100,66.241100,12.122300,0,0.000000 
56.388000,18.960700,75.054600,3.147800,0,0.000000 
59.944600,17.713100,75.054600,3.763600,0,0.000000 
52.293100,26.695400,75.054600,-5.837700,0,0.000000 
70.164200,11.825100,75.054600,21.330100,0,0.000000 
62.499300,25.478700,75.054600,-5.837700,0,0.000000 
63.467900,21.638700,75.054600,12.747700,0,0.000000 
68.811100,17.408600,75.054600,12.801500,0,0.000000 
58.496100,29.061700,75.054600,-5.837700,0,0.000000 
68.311500,20.279200,75.054600,3.125100,0,0.000000 
70.632000,13.911500,75.054600,12.801500,0,0.000000 
54.493300,30.193400,75.054600,-5.802100,0,0.000000 
49.510600,33.452300,75.054600,-5.837700,0,0.000000 
58.089400,26.177100,75.054600,3.147800,0,0.000000 
70.157900,14.207000,75.054600,12.753000,0,0.000000 
70.615400,13.938600,75.225400,12.732100,0,0.000000 
67.992200,17.462600,75.225400,12.790500,0,0.000000 
