Avg,Std,Max,Min,Energy,Std_energy 
1.848400,7.854100,21.753000,-5.817100,0,0.000000 
7.762100,9.676100,21.753000,-5.669900,0,0.000000 
16.349300,13.768300,57.732100,-5.273000,0,0.000000 
29.375500,17.863300,57.753000,3.286300,0,0.000000 
39.270600,21.556600,57.753000,-5.273000,0,0.000000 
50.515600,14.381600,57.753000,21.753000,0,0.000000 
53.552400,12.317500,57.753000,3.203900,0,0.000000 
58.175100,1.854100,66.257000,57.732100,0,0.000000 
53.545600,16.652600,66.257000,-5.273000,0,0.000000 
56.125600,17.338600,66.257000,-5.786900,0,0.000000 
52.470300,17.561000,66.257000,21.210000,0,0.000000 
62.274200,9.932200,66.257000,21.747700,0,0.000000 
55.120500,19.502100,66.257000,3.753000,0,0.000000 
61.820400,9.946200,66.257000,21.753000,0,0.000000 
63.174200,10.243800,75.228600,21.753000,0,0.000000 
65.348200,5.627600,75.228600,48.213100,0,0.000000 
61.790200,14.232700,75.228600,21.747700,0,0.000000 
64.518700,15.061500,75.228600,21.747700,0,0.000000 
58.684400,24.000600,75.228600,3.747700,0,0.000000 
67.633200,14.989600,75.228600,21.747700,0,0.000000 
72.549700,8.496900,75.228600,39.716800,0,0.000000 
75.228600,0.000000,75.228600,75.228600,0,0.000000 
73.425100,5.410500,75.228600,57.177000,0,0.000000 
73.424300,5.412700,75.228600,57.162300,0,0.000000 
71.651500,12.104000,75.228600,21.753000,0,0.000000 
68.533200,14.082500,75.228600,21.747700,0,0.000000 
66.757000,20.233200,75.228600,12.753000,0,0.000000 
62.226200,24.619900,75.228600,-5.762100,0,0.000000 
66.280200,20.617200,75.228600,3.247400,0,0.000000 
71.617700,7.221700,75.228600,57.162300,0,0.000000 
