Avg,Std,Max,Min,Energy 
54.214200,40.248800,87.727000,-5.796100,10 
67.851300,31.789000,88.763000,-5.796100,18 
87.973300,0.870300,91.637200,87.706200,22 
66.720100,35.112300,91.637200,-6.738200,22 
78.074400,24.205000,91.637200,-5.796100,25 
83.399700,15.081300,91.637200,30.102800,21 
88.919200,3.385000,91.772400,75.286300,33 
80.750300,21.767500,91.772400,12.225400,36 
76.372000,28.062200,91.772400,12.213100,33 
80.194000,25.988400,91.772400,-5.758900,45 
90.507500,5.513500,91.772400,66.474500,55 
82.715600,23.397700,91.772400,-5.783800,45 
82.340600,24.019500,91.937000,12.216200,46 
70.775200,36.076100,91.937000,-5.783800,34 
74.231800,31.629400,91.937000,-5.783800,17 
77.808900,26.037100,91.937000,3.171100,41 
74.549400,32.165600,91.937000,-5.886100,28 
78.533600,25.549800,91.937000,12.210000,48 
81.837400,24.773300,91.937000,-5.783800,38 
77.330700,31.746300,91.937000,-5.762100,49 
79.070700,30.781000,91.937000,-5.783800,41 
87.951500,17.372700,91.937000,12.225400,60 
85.773600,19.353600,91.937000,12.228600,49 
89.765300,9.466300,91.937000,48.502800,45 
76.905400,30.927500,91.937000,-5.710400,45 
79.948000,26.779600,91.937000,3.225400,44 
70.270400,35.136200,91.937000,-5.755700,41 
84.022700,22.546300,91.937000,-5.826000,53 
89.264500,11.474700,91.937000,39.250600,52 
77.349400,30.452900,91.937000,-5.774600,38 
