Avg,Std,Max,Min,Energy 
25.878500,41.906200,92.137000,-5.897200,5 
57.403600,41.239400,92.137000,-5.978900,20 
67.608100,34.116800,92.137000,-5.783800,26 
75.451900,31.068700,92.137000,-5.783800,27 
74.085500,32.078900,92.137000,-5.783800,45 
82.204200,20.926500,92.137000,30.203900,51 
89.138600,11.466000,92.137000,39.203900,39 
89.417500,11.520700,92.137000,39.203900,46 
86.375500,17.282700,92.137000,30.203900,42 
84.160600,19.099100,92.137000,30.203900,46 
88.935700,13.477500,92.137000,30.203900,53 
84.575500,23.023200,92.137000,3.203900,34 
89.850400,9.575300,92.137000,48.133500,26 
88.090000,13.777500,92.137000,30.203900,61 
85.899800,16.242000,92.137000,30.203900,49 
80.200400,23.936800,92.137000,30.203900,31 
75.253800,29.624300,92.137000,3.203900,26 
85.048300,18.645800,92.137000,30.203900,38 
89.854200,9.558600,92.137000,48.210000,65 
92.032300,0.309000,92.137000,90.772400,61 
89.453900,11.528700,92.137000,39.203900,54 
85.547400,17.400700,92.137000,30.203900,31 
89.490400,11.536500,92.137000,39.203900,66 
86.775500,16.113300,92.137000,30.203900,53 
86.430600,14.778200,92.537000,39.203900,38 
79.285500,22.719300,92.537000,30.203900,45 
86.447300,21.484600,92.572400,-5.796100,50 
88.327300,13.846800,92.537000,30.203900,59 
83.561500,21.217000,92.537000,30.203900,48 
81.420400,25.835100,92.537000,-5.796100,49 
