Avg,Std,Max,Min,Energy 
13.289600,33.047400,89.970700,-5.796100,4 
22.072000,31.469500,89.970700,-5.886100,2 
51.955600,32.933700,92.512400,-5.796100,13 
70.090800,33.043300,92.512400,-5.796100,36 
85.637900,22.279500,92.512400,-5.796100,59 
92.163100,1.048400,92.512400,88.919400,46 
87.867200,19.439500,92.582700,3.203900,59 
90.902500,3.903000,92.582700,75.358100,61 
91.859600,1.407400,92.582700,87.647000,69 
91.224800,3.836600,92.582700,75.286300,41 
89.125300,11.255300,92.582700,40.435700,56 
88.101100,13.823700,92.582700,30.203900,37 
86.304600,21.477000,92.582700,-5.796100,29 
91.831600,1.599600,92.582700,87.727000,42 
92.339900,1.058300,92.582700,87.727000,69 
92.191600,1.147400,92.718600,87.727000,30 
87.445600,21.400400,92.718600,-5.796100,55 
92.094600,1.306400,92.776100,87.727000,60 
82.634200,24.963700,92.776100,-5.796100,40 
86.113800,21.845500,92.776100,-5.796100,51 
82.594400,29.473700,92.776100,-5.796100,40 
82.574700,29.466800,92.776100,-5.796100,48 
87.346800,21.437600,92.776100,-6.011300,66 
87.712000,21.460000,92.776100,-5.796100,49 
88.270600,19.515800,92.776100,3.203900,62 
77.717000,33.874100,92.776100,-5.796100,44 
92.737600,0.085700,92.776100,92.488000,58 
77.677800,35.107400,92.776100,-6.011300,48 
83.130200,26.837000,92.776100,-5.796100,48 
88.027100,19.482200,92.776100,3.241100,44 
