Avg,Std,Max,Min,Energy 
29.145900,35.456600,87.950100,-5.796100,3 
46.950600,34.016800,87.950100,-5.796100,2 
69.921700,28.310200,91.847000,-5.796100,10 
74.601900,23.415600,91.847000,12.686800,12 
88.316500,1.592900,91.847000,85.623900,14 
89.990100,1.862900,91.876000,87.743800,40 
91.263300,1.206000,92.989400,87.950100,51 
89.767200,9.735700,93.169600,47.400100,36 
82.657100,23.372400,93.169600,-5.463800,33 
91.057700,5.887700,93.169600,65.450300,50 
90.285000,7.876000,93.169600,56.695600,54 
86.842500,13.038700,93.169600,48.225400,50 
86.897400,19.609200,93.169600,3.588400,42 
90.674800,5.692200,93.169600,66.894100,51 
91.183100,5.829000,93.169600,65.991200,72 
92.682200,0.655500,93.169600,90.582700,58 
92.012000,2.529800,93.169600,85.623900,55 
88.124000,13.947400,93.169600,30.203900,56 
88.642000,12.577400,93.169600,40.384900,40 
92.798500,1.374700,93.789400,86.974300,70 
85.847600,21.815400,93.789400,20.409700,36 
88.917000,14.071500,93.789400,30.203900,43 
91.944400,4.279800,93.789400,74.693700,47 
92.663800,1.934800,93.789400,85.018200,43 
91.267600,7.987000,93.789400,56.699200,64 
93.226100,1.764300,93.789400,85.623900,65 
88.757100,16.206800,93.789400,20.408300,52 
93.451800,1.075900,93.789400,89.264200,58 
90.948600,9.878300,93.789400,48.222300,56 
91.174100,7.103900,93.789400,65.830400,71 
