Avg,Std,Max,Min,Energy 
20.571600,38.845300,93.127000,-5.849300,1 
57.749900,37.378600,93.127000,-5.918900,17 
83.068300,21.198900,93.127000,-5.783800,22 
82.676200,25.417100,93.127000,-5.768300,49 
80.048600,28.727500,91.772400,-5.783800,45 
85.617200,21.693500,91.772400,-5.783800,59 
85.616800,21.693900,91.772400,-5.783800,48 
87.417700,15.601200,91.772400,21.257000,48 
82.259000,16.881800,91.772400,48.168100,37 
82.088800,24.800600,91.772400,-5.783800,22 
87.955700,9.477500,91.772400,57.482500,48 
86.016800,18.522700,91.772400,12.216200,32 
91.750600,0.087100,91.772400,91.372400,55 
88.062500,15.354900,91.772400,21.213100,64 
88.806000,9.045200,91.972400,57.506900,40 
89.240800,7.628400,91.972400,66.197900,59 
87.813400,17.340600,91.972400,12.228600,48 
83.967400,19.564200,91.972400,21.553300,48 
87.652300,11.830100,91.972400,47.832500,45 
86.154900,17.652900,91.972400,21.299600,59 
88.819700,13.377200,91.972400,30.515200,63 
84.835800,21.956000,91.972400,3.260200,60 
86.879400,14.500300,91.972400,39.182900,46 
85.839100,19.601500,92.372400,3.234800,64 
86.331800,14.751900,92.372400,39.197900,26 
84.572400,19.998800,92.372400,21.250600,34 
87.318600,14.641300,92.372400,38.697400,50 
89.167700,13.528500,92.447000,30.203900,43 
88.239900,9.660600,92.500100,57.203900,45 
92.108800,0.802600,92.563600,88.763000,56 
