Avg,Std,Max,Min,Energy 
34.369700,35.214700,91.837200,-5.783800,5 
49.052000,33.181300,91.837200,-5.886100,7 
62.455900,27.813200,91.837200,-5.755700,10 
70.969300,26.015600,91.837200,3.241100,12 
84.344000,15.702100,91.837200,20.348400,21 
83.908500,23.529400,91.837200,-5.929600,38 
90.983500,2.004800,91.837200,85.623900,32 
82.150600,27.786900,91.837200,-5.783800,23 
85.902800,16.459600,91.837200,21.696700,27 
87.511800,17.240200,91.837200,12.597300,54 
89.050400,11.332300,91.837200,39.711700,42 
91.837200,0.000000,91.837200,91.837200,47 
84.935900,16.555500,91.837200,21.570700,42 
85.540800,18.498900,91.837200,21.624700,49 
84.337000,23.610100,91.837200,-5.783800,51 
90.967300,1.607700,91.837200,85.927000,46 
87.781600,13.635000,91.837200,30.486600,46 
85.751100,18.385200,91.837200,12.575000,43 
85.585600,21.230100,91.837200,-5.472300,42 
88.967900,9.470600,91.837200,48.390500,29 
82.535900,26.492100,91.837200,-5.666400,46 
91.244200,1.472200,91.837200,86.937400,50 
77.553000,33.723600,91.837200,-5.796100,46 
87.073600,15.184000,91.837200,21.657700,39 
91.466000,1.164500,91.837200,86.723500,41 
83.462800,22.420500,91.837200,13.140200,46 
89.637000,6.294300,91.837200,67.002800,42 
85.708500,18.601700,91.837200,21.615500,37 
90.498100,5.465100,91.837200,66.716800,50 
88.798900,9.460200,91.837200,48.506900,49 
