Avg,Std,Max,Min,Energy 
10.754800,31.118400,91.772400,-5.796100,3 
29.817100,40.089100,92.372400,-6.300800,14 
40.945400,40.613600,92.372400,-5.793000,7 
74.011400,32.041800,92.372400,-5.796100,29 
84.025400,21.441900,92.447000,12.216200,49 
86.229300,17.235200,92.447000,30.203900,56 
87.689100,13.468100,92.447000,39.203900,58 
70.419100,37.906100,92.372400,-5.783800,43 
73.144400,34.725600,92.372400,-5.793000,39 
85.035800,22.023600,92.372400,3.213100,53 
86.000600,19.450100,92.447000,12.210000,70 
86.524100,17.330000,92.447000,30.203900,47 
90.993900,5.685900,92.447000,66.228600,47 
92.369700,0.113200,92.447000,92.047000,55 
90.509800,7.644500,92.447000,57.225400,66 
89.286200,13.555200,92.447000,30.203900,63 
87.922500,14.411300,92.447000,30.203900,34 
86.650400,17.369800,92.447000,30.203900,51 
92.413300,0.147000,92.447000,91.772400,63 
92.362100,0.233100,92.447000,91.572400,63 
87.566300,15.228800,92.447000,30.203900,56 
79.303600,30.733900,92.447000,3.203900,50 
89.747600,11.595700,92.447000,39.207000,59 
82.177000,24.574200,92.447000,12.207000,35 
89.267400,13.551600,92.447000,30.203900,47 
89.235100,13.539500,92.447000,30.231700,63 
92.413300,0.147000,92.447000,91.772400,59 
92.423300,0.087800,92.447000,92.047000,67 
92.318400,0.251500,92.447000,91.772400,66 
81.293600,24.485800,92.447000,3.231700,23 
