Avg,Std,Max,Min,Energy 
32.042900,36.349200,91.796000,-5.796100,3 
64.611200,32.675900,92.396000,-5.796100,31 
83.150000,18.949500,92.396000,30.203900,27 
86.434600,19.266500,92.718600,2.830400,36 
90.272900,3.954100,92.524800,74.697400,34 
90.121700,7.838200,92.524800,56.504700,44 
88.386100,15.202600,92.524800,22.384900,51 
90.122900,5.887800,92.718600,65.832500,47 
92.175300,1.228900,92.718600,87.447000,57 
83.310900,23.761800,92.718600,-5.796100,46 
87.712500,19.427200,92.718600,3.237900,46 
92.247000,1.312800,92.718600,87.727000,46 
85.140500,23.057600,92.776100,-5.796100,47 
91.983700,1.781400,92.776100,86.881900,59 
89.402600,11.620500,92.776100,39.216200,52 
89.473700,13.604500,92.776100,30.203900,61 
87.302100,21.417300,92.776100,-5.796100,49 
92.037900,1.672200,92.776100,87.727000,32 
86.157800,18.566200,92.776100,30.203900,43 
91.936100,1.692300,92.776100,87.247000,54 
89.917900,6.653200,92.776100,66.344000,37 
83.495000,22.736500,92.776100,3.203900,40 
84.136200,24.682000,92.776100,-5.796100,53 
90.176800,6.206200,92.776100,65.693700,47 
87.937000,17.550800,92.776100,11.830400,55 
86.480700,14.552700,92.776100,39.253800,49 
88.164300,13.484100,92.776100,30.203900,40 
90.609000,2.434500,92.776100,87.077000,37 
84.094700,24.588400,92.776100,-5.796100,47 
86.944800,14.780600,92.776100,29.864400,35 
