Avg,Std,Max,Min,Energy 
29.404000,32.881700,89.569600,-5.877700,6 
58.862000,37.770300,89.569600,-5.796100,11 
86.534600,12.980000,91.772400,30.203900,35 
90.711600,1.466900,92.527000,86.750100,41 
84.944600,19.818700,91.876000,21.216200,48 
79.542400,29.980100,91.876000,-5.783800,40 
72.282400,39.044800,91.876000,-5.886100,51 
87.521600,13.715000,91.876000,29.971700,36 
86.001000,15.586600,91.876000,39.216200,44 
81.744600,23.274300,91.876000,-5.783800,26 
77.789700,27.579000,92.262500,-5.783800,30 
81.612600,29.175000,92.262500,-5.796100,37 
78.511900,30.991400,92.262500,-5.783800,40 
86.016200,21.163800,92.262500,-5.790000,46 
91.465300,1.385700,92.379600,87.950100,44 
90.719300,3.723300,92.262500,75.365200,46 
88.748900,13.472400,92.262500,30.203900,52 
78.907600,30.489300,92.576100,-5.796100,40 
82.565300,21.124800,92.576100,30.150700,44 
89.621800,11.302200,92.576100,40.446100,44 
86.836100,21.304500,92.576100,-5.796100,34 
87.102000,21.347100,92.576100,-5.796100,55 
91.712400,1.855900,92.576100,86.012600,49 
92.263700,1.190400,92.576100,87.131100,54 
92.357100,0.768100,92.576100,89.127700,58 
85.992100,21.418800,92.582700,-5.796100,49 
87.183700,21.361200,92.582700,-5.796100,56 
92.096200,1.180000,92.582700,88.336200,64 
92.163300,1.266600,92.582700,87.727000,49 
87.552300,21.418300,92.582700,-5.796100,52 
